item_id,title,topic,difficulty,content,sample_question,sample_answer
ITEM001,IELTS Reading: Skimming & Scanning - easy - Set 1,IELTS Reading: Skimming & Scanning,easy,"IELTS Reading: Skimming & Scanning. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM002,IELTS Reading: Skimming & Scanning - easy - Set 2,IELTS Reading: Skimming & Scanning,easy,"IELTS Reading: Skimming & Scanning. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM003,IELTS Reading: Skimming & Scanning - easy - Set 3,IELTS Reading: Skimming & Scanning,easy,"IELTS Reading: Skimming & Scanning. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM004,IELTS Reading: Skimming & Scanning - medium - Set 1,IELTS Reading: Skimming & Scanning,medium,"IELTS Reading: Skimming & Scanning. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM005,IELTS Reading: Skimming & Scanning - medium - Set 2,IELTS Reading: Skimming & Scanning,medium,"IELTS Reading: Skimming & Scanning. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM006,IELTS Reading: Skimming & Scanning - medium - Set 3,IELTS Reading: Skimming & Scanning,medium,"IELTS Reading: Skimming & Scanning. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM007,IELTS Reading: Skimming & Scanning - hard - Set 1,IELTS Reading: Skimming & Scanning,hard,"IELTS Reading: Skimming & Scanning. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM008,IELTS Reading: Skimming & Scanning - hard - Set 2,IELTS Reading: Skimming & Scanning,hard,"IELTS Reading: Skimming & Scanning. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM009,IELTS Reading: Skimming & Scanning - hard - Set 3,IELTS Reading: Skimming & Scanning,hard,"IELTS Reading: Skimming & Scanning. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM010,IELTS Reading: Inference Skills - easy - Set 1,IELTS Reading: Inference Skills,easy,"IELTS Reading: Inference Skills. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM011,IELTS Reading: Inference Skills - easy - Set 2,IELTS Reading: Inference Skills,easy,"IELTS Reading: Inference Skills. This is a easy level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM012,IELTS Reading: Inference Skills - easy - Set 3,IELTS Reading: Inference Skills,easy,"IELTS Reading: Inference Skills. This is a easy level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM013,IELTS Reading: Inference Skills - medium - Set 1,IELTS Reading: Inference Skills,medium,"IELTS Reading: Inference Skills. This is a medium level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM014,IELTS Reading: Inference Skills - medium - Set 2,IELTS Reading: Inference Skills,medium,"IELTS Reading: Inference Skills. This is a medium level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM015,IELTS Reading: Inference Skills - medium - Set 3,IELTS Reading: Inference Skills,medium,"IELTS Reading: Inference Skills. This is a medium level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM016,IELTS Reading: Inference Skills - hard - Set 1,IELTS Reading: Inference Skills,hard,"IELTS Reading: Inference Skills. This is a hard level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM017,IELTS Reading: Inference Skills - hard - Set 2,IELTS Reading: Inference Skills,hard,"IELTS Reading: Inference Skills. This is a hard level IELTS practice activity (Set 2). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM018,IELTS Reading: Inference Skills - hard - Set 3,IELTS Reading: Inference Skills,hard,"IELTS Reading: Inference Skills. This is a hard level IELTS practice activity (Set 3). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Find the main idea and two supporting details.,Main idea: ...; Details: ...
ITEM019,IELTS Writing Task 1: Describing Graphs - easy - Set 1,IELTS Writing Task 1: Describing Graphs,easy,"IELTS Writing Task 1: Describing Graphs. This is a easy level IELTS practice activity (Set 1). It includes IELTS-style examples, practice questions, model answers, and tips to score higher.",Summarize the key information from the graph in 150 words.,Model summary: The graph shows ...
